Range [NM],Range [km],Payload [kg],Fuel [kg],Take-off Mass [kg],DOC,ASK,Engine Cost Share,Capital,Crew,Maintenance,Fuel,Payload Handling,Landing Fees,ATC Fees
1260,2333.52,31220.0,3140.9660377358523,113192.96603773585,48859741.238094255,0.05459087618364367,0.188,15226246,6843652,6050354,11785214.542440997,916950.5863858616,4953295.948217295,3084028.1610501027
1270,2352.04,31220.0,3165.8943396226387,113217.89433962264,48883689.9063537,0.054447596055238225,0.188,15226246,6843652,6041792,11822019.351380605,911915.6896722679,4968764.916587711,3069299.948713116
1280,2370.56,31220.0,3190.8226415094396,113242.82264150944,48907410.53190854,0.05430655424645629,0.188,15226246,6843652,6033311,11858474.298004052,906928.6541126057,4984086.838709023,3054711.74108286
1290,2389.08,31220.0,3215.750943396226,113267.75094339623,48930907.50050056,0.05416769997587911,0.188,15226246,6843652,6024911,11894584.347339654,901988.800491144,4999263.801370158,3040261.5512996046
1300,2407.6,31220.0,3240.6792452830123,113292.67924528301,48954183.1152761,0.05403098181718319,0.188,15226246,6843652,6016590,11930354.37091074,897095.4623836494,5014297.852060057,3025947.42992165
1310,2426.1200000000003,31220.0,3265.607547169813,113317.60754716981,48977240.598721184,0.053896350973496765,0.188,15226246,6843652,6008347,11965789.148926385,892247.9858576766,5029190.999888521,3011767.4640486026
1320,2444.6400000000003,31220.0,3290.5358490565995,113342.5358490566,49000082.094542496,0.053763759008952444,0.188,15226246,6843652,6000180,12000893.372410826,887445.7291812433,5043945.216481246,2997719.7764691818
1330,2463.1600000000003,31220.0,3315.4641509434005,113367.4641509434,49022712.66949641,0.05363316218590858,0.188,15226246,6843652,5992090,12035671.645274073,882688.0625396178,5058562.436849954,2983802.5248327646
1340,2481.6800000000003,31220.0,3340.392452830187,113392.39245283019,49045133.315166585,0.05350451372879385,0.188,15226246,6843652,5984074,12070128.48632433,877974.3677599633,5073044.560238382,2970013.9008439044
1350,2500.2000000000003,31220.0,3365.3207547169877,113417.32075471699,49067347.94969334,0.053377771451473315,0.188,15226246,6843652,5976132,12104268.331225742,873304.0380435804,5087393.450944935,2956352.129479081
1360,2518.7200000000003,31220.0,3390.249056603774,113442.24905660377,49089359.419454634,0.05325289332376521,0.188,15226246,6843652,5968263,12138095.534401445,868676.4777055033,5101610.9391227225,2942815.4682249585
1370,2537.2400000000002,31220.0,3415.1773584905604,113467.17735849056,49111169.50070188,0.05312983744109466,0.188,15226246,6843652,5960465,12171614.370885441,864091.1019212217,5115698.8215577295,2929402.206337492
1380,2555.76,31220.0,3440.1056603773613,113492.10566037736,49132782.90115078,0.05300856631100217,0.188,15226246,6843652,5952739,12204829.038123492,859547.3364802944,5129658.862425801,2916110.6641211947
1390,2574.28,31220.0,3465.0339622641477,113517.03396226415,49154200.26152887,0.0528890392354593,0.188,15226246,6843652,5945082,12237743.657725196,855044.6175466424,5143492.794029101,2902939.1922279284
1400,2592.8,31220.0,3489.9622641509486,113541.96226415095,49175425.157082,0.0527712198407007,0.188,15226246,6843652,5937494,12270362.277169347,850582.3914253063,5157202.317512714,2889886.170974635
1410,2611.32,31220.0,3514.890566037735,113566.89056603773,49196460.09903954,0.05265507171453862,0.188,15226246,6843652,5929974,12302688.871462703,846160.1143354733,5170789.103561997,2876950.0096793696
